virus	host	label
Seymour-1983-Serologic evidence of natural tog.pdf::span:1068:1070	Seymour-1983-Serologic evidence of natural tog.pdf::span:1140:1158	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:1100:1105	Seymour-1983-Serologic evidence of natural tog.pdf::span:1140:1158	1
Seymour-1983-Serologic evidence of natural tog.pdf::span:1173:1184	Seymour-1983-Serologic evidence of natural tog.pdf::span:1140:1158	1
Seymour-1983-Serologic evidence of natural tog.pdf::span:2904:2915	Seymour-1983-Serologic evidence of natural tog.pdf::span:3065:3084	1
Seymour-1983-Serologic evidence of natural tog.pdf::span:2904:2915	Seymour-1983-Serologic evidence of natural tog.pdf::span:3262:3280	1
Seymour-1983-Serologic evidence of natural tog.pdf::span:2904:2915	Seymour-1983-Serologic evidence of natural tog.pdf::span:3331:3349	1
Seymour-1983-Serologic evidence of natural tog.pdf::span:3522:3529	Seymour-1983-Serologic evidence of natural tog.pdf::span:3065:3084	1
Seymour-1983-Serologic evidence of natural tog.pdf::span:3522:3529	Seymour-1983-Serologic evidence of natural tog.pdf::span:3262:3280	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:3522:3529	Seymour-1983-Serologic evidence of natural tog.pdf::span:3331:3349	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:3748:3752	Seymour-1983-Serologic evidence of natural tog.pdf::span:3893:3897	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14318:14326	Seymour-1983-Serologic evidence of natural tog.pdf::span:14802:14821	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14318:14326	Seymour-1983-Serologic evidence of natural tog.pdf::span:14705:14727	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14318:14326	Seymour-1983-Serologic evidence of natural tog.pdf::span:14823:14840	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14318:14326	Seymour-1983-Serologic evidence of natural tog.pdf::span:14842:14863	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14318:14326	Seymour-1983-Serologic evidence of natural tog.pdf::span:14683:14703	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14427:14429	Seymour-1983-Serologic evidence of natural tog.pdf::span:14802:14821	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14427:14429	Seymour-1983-Serologic evidence of natural tog.pdf::span:14705:14727	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14427:14429	Seymour-1983-Serologic evidence of natural tog.pdf::span:14823:14840	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14427:14429	Seymour-1983-Serologic evidence of natural tog.pdf::span:14842:14863	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14427:14429	Seymour-1983-Serologic evidence of natural tog.pdf::span:14683:14703	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14434:14436	Seymour-1983-Serologic evidence of natural tog.pdf::span:14802:14821	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14434:14436	Seymour-1983-Serologic evidence of natural tog.pdf::span:14705:14727	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14434:14436	Seymour-1983-Serologic evidence of natural tog.pdf::span:14823:14840	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14434:14436	Seymour-1983-Serologic evidence of natural tog.pdf::span:14842:14863	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14434:14436	Seymour-1983-Serologic evidence of natural tog.pdf::span:14683:14703	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14438:14440	Seymour-1983-Serologic evidence of natural tog.pdf::span:14802:14821	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14438:14440	Seymour-1983-Serologic evidence of natural tog.pdf::span:14705:14727	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14438:14440	Seymour-1983-Serologic evidence of natural tog.pdf::span:14823:14840	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14438:14440	Seymour-1983-Serologic evidence of natural tog.pdf::span:14842:14863	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14438:14440	Seymour-1983-Serologic evidence of natural tog.pdf::span:14683:14703	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14566:14577	Seymour-1983-Serologic evidence of natural tog.pdf::span:14705:14727	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14566:14577	Seymour-1983-Serologic evidence of natural tog.pdf::span:14823:14840	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14566:14577	Seymour-1983-Serologic evidence of natural tog.pdf::span:14842:14863	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:14566:14577	Seymour-1983-Serologic evidence of natural tog.pdf::span:14683:14703	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:18385:18387	Seymour-1983-Serologic evidence of natural tog.pdf::span:18257:18275	-1
Seymour-1983-Serologic evidence of natural tog.pdf::span:23831:23833	Seymour-1983-Serologic evidence of natural tog.pdf::span:23862:23872	1
Ubico-1995-Serologic survey of neotropical bat.pdf::span:14850:14858	Ubico-1995-Serologic survey of neotropical bat.pdf::span:14867:14878	1
Ubico-1995-Serologic survey of neotropical bat.pdf::span:14850:14858	Ubico-1995-Serologic survey of neotropical bat.pdf::span:14954:14965	1
Ubico-1995-Serologic survey of neotropical bat.pdf::span:14917:14919	Ubico-1995-Serologic survey of neotropical bat.pdf::span:14867:14878	1
Ubico-1995-Serologic survey of neotropical bat.pdf::span:14917:14919	Ubico-1995-Serologic survey of neotropical bat.pdf::span:14954:14965	1
Ubico-1995-Serologic survey of neotropical bat.pdf::span:20162:20164	Ubico-1995-Serologic survey of neotropical bat.pdf::span:20111:20122	1
Seymour-1983-Serologic evidence of natural tog.pdf::span:23689:23697	Seymour-1983-Serologic evidence of natural tog.pdf::span:23862:23872	-1
